step_ahead,bh_mass,bh_acc,stellar_mass,sfr,halo_mass,vel_disp
1,0.0011350823,0.0012265651,0.29664132,3.3981788,14.663703,74.474014
2,0.001209704,0.0012229232,0.3102405,3.425377,15.078517,75.406425
3,0.001276947,0.001217572,0.32226574,3.4419804,15.425894,76.31996
4,0.0013416818,0.0012178508,0.33304495,3.4649231,15.737694,77.224365
5,0.0014017452,0.0012224066,0.3434661,3.5025532,16.054264,78.12959
6,0.0014609275,0.0012367332,0.35291997,3.557018,16.36214,79.04946
7,0.0015184731,0.0012623635,0.3626196,3.6292055,16.691721,79.97811
8,0.0015768538,0.0012957192,0.3717024,3.714116,17.01409,80.91835
9,0.0016372076,0.0013346842,0.38100186,3.808242,17.344246,81.86187
10,0.0017011649,0.0013749069,0.39126325,3.906409,17.701553,82.79761
